pais_prod,count,lat,lng,pais_prod_en
Estados Unidos de América,972877,39.7837304,-100.445882,United States
Colombia,686362,4.099917,-72.9088133,Colombia
Perú,449485,-6.8699697,-75.0458515,Peru
España,195598,39.3260685,-4.8379791,Spain
Panamá,133257,8.9714493,-79.5341802,Panama
México,91131,19.4326296,-99.1331785,Mexico
Argentina,63254,-34.9964963,-64.9672817,Argentina
Chile,58668,-31.7613365,-71.3187697,Chile
República Dominicana,46819,19.0974031,-70.3028026,Dominican Republic
Brasil,40187,-10.3333333,-53.2,Brazil
Canadá,32441,61.0666922,-107.991707,Canada
Países Bajos,31027,52.2476498,5.5412468,Netherlands
China,26031,35.0000663,104.999955,China
Italia,24086,42.6384261,12.674297,Italy
Alemania,22073,51.1638175,10.4478313,Germany
Reino Unido,18869,54.7023545,-3.2765753,United Kingdom
Costa Rica,17824,10.2735633,-84.0739102,Costa Rica
Francia,14510,46.603354,1.8883335,France
Cuba,11795,23.0131338,-80.8328748,Cuba
Venezuela,9641,8.0018709,-66.1109318,Venezuela
El Salvador,9432,13.8000382,-88.9140683,El Salvador
Suiza,8170,46.7985624,8.2319736,Switzerland
Turquía,7764,38.9597594,34.9249653,Turkey
Bolivia,7538,-17.0568696,-64.9912286,Bolivia
Guatemala,7460,15.5855545,-90.345759,Guatemala
Sin especificar,6707,,,Not specified
Aruba,6565,12.5175662,-69.9818642,Aruba
Uruguay,6518,-32.8755548,-56.0201525,Uruguay
Bélgica,5055,50.6402809,4.6667145,Belgium
Honduras,3847,15.2572432,-86.0755145,Honduras
Israel,3731,30.8124247,34.8594762,Israel
Paraguay,3705,-23.3165935,-58.1693445,Paraguay
Curazao,3587,12.1176488,-68.9309263,Curacao
Puerto Rico,3496,18.2247706,-66.4858295,Puerto Rico
Australia,2691,-24.7761086,134.755,Australia
Austria,1970,47.59397,14.12456,Austria
Federación de Rusia,1869,64.6863136,97.7453061,Russia
Japón,1824,36.5748441,139.2394179,Japan
República de Corea del Sur,1800,36.638392,127.6961188,South Korea
Dinamarca,1766,55.670249,10.3333283,Denmark
Portugal,1754,39.6621648,-8.1353519,Portugal
Nicaragua,1717,12.6090157,-85.2936911,Nicaragua
Polonia,1570,52.215933,19.134422,Poland
Emiratos Árabes Unidos,1545,24.0002488,53.9994829,United Arab Emirates
Suecia,1498,59.6749712,14.5208584,Sweden
República Checa,1077,49.7439047,15.3381061,Czech Republic
India,995,22.3511148,78.6677428,India
Noruega,990,64.5731537,11.5280364,Norway
Bahamas,847,24.7736546,-78.0000547,Bahamas
